"date","year","month","n_scenes","VV_mean","VH_mean","water_frac"
2024-06-01,2024,6,10,-14.0914668603099,-21.6778354906157,0.231950620128268
2017-07-01,2017,7,7,-13.1279292911123,-19.6136410824553,0.156742011153779
2018-07-01,2018,7,8,-12.558470375087,-19.1798330194432,0.130765833188138
2019-07-01,2019,7,7,-12.7743831830801,-19.8678033566236,0.139098622996639
2020-07-01,2020,7,8,-12.4965375596434,-19.6006391595683,0.13111388915234
2021-07-01,2021,7,9,-12.3778428534806,-18.9425227418427,0.131978244640934
2022-07-01,2022,7,10,-11.9699871267714,-18.8455941264909,0.119481682073999
2023-07-01,2023,7,10,-13.3927807672643,-20.4728678815839,0.221825485057782
2024-07-01,2024,7,10,-14.6655815338289,-22.6429098617089,0.238703149762416
2017-08-01,2017,8,8,-13.3446203877149,-20.3493998022486,0.159120021110267
2018-08-01,2018,8,4,-13.1409847915948,-20.3643696776476,0.141368816924156
2019-08-01,2019,8,8,-13.1092230736849,-20.5907596742907,0.146928341532641
2020-08-01,2020,8,7,-13.1132862084928,-20.7673309812894,0.153416899815894
2021-08-01,2021,8,7,-12.93700789559,-20.0248556740286,0.148165839726544
2022-08-01,2022,8,12,-12.782760942385,-19.8565709515498,0.130006596022093
2023-08-01,2023,8,10,-13.9643529760005,-21.4520817339414,0.223850960936391
2024-08-01,2024,8,6,-14.8442096764858,-23.2471322305709,0.244843665741664
2017-09-01,2017,9,7,-13.5268238759043,-20.893205494361,0.163111841521988
2018-09-01,2018,9,6,-13.9122658161262,-21.2039358100756,0.156959097164643
2019-09-01,2019,9,7,-13.1872835682926,-21.2450207248203,0.151100761875508
2020-09-01,2020,9,8,-13.4859585785847,-21.4311781623293,0.154198658528793
2021-09-01,2021,9,7,-12.9479365839052,-20.6162338766248,0.151639529103492
2022-09-01,2022,9,10,-13.1788531157793,-20.6928589528011,0.13469484158579
2023-09-01,2023,9,12,-13.8343787021039,-22.1967278202274,0.219312077932854
2024-09-01,2024,9,8,-14.6151198696844,-23.5220792687055,0.237964158819366
2017-10-01,2017,10,9,-13.5531515266141,-21.1527191319641,0.143645184234959
2018-10-01,2018,10,5,-13.1794334754076,-21.3144299341924,0.12395504167643
2019-10-01,2019,10,7,-12.8448341950773,-21.1948319205139,0.130652057056421
2020-10-01,2020,10,7,-13.2005427012061,-21.4638635165263,0.147237061342188
2021-10-01,2021,10,8,-13.2405331815722,-21.2270103720655,0.150286266093371
2022-10-01,2022,10,8,-13.1489717307506,-21.2178411178514,0.136714510936707
2023-10-01,2023,10,8,-13.3819168608065,-22.3815138011836,0.220979045500294
2024-10-01,2024,10,12,-14.0872650730889,-23.4008578212727,0.232391529037152
2017-11-01,2017,11,6,-11.9383574233043,-19.3485731459622,0.106238485740815
2018-11-01,2018,11,8,-11.7366540289472,-19.9261257024444,0.0538020593705833
2019-11-01,2019,11,7,-12.271212100766,-20.7311473540306,0.137716917783808
2020-11-01,2020,11,8,-12.2297183621225,-20.878114296375,0.119831363070885
2021-11-01,2021,11,7,-12.7694774216597,-21.1397884501217,0.149383217829391
2022-11-01,2022,11,10,-12.5162609990617,-20.8909937662179,0.133458800514484
2023-11-01,2023,11,10,-13.13394161608,-22.0593367839608,0.221400547375369
2024-11-01,2024,11,10,-12.9543259524481,-22.4078562201816,0.207257784739871
2017-12-01,2017,12,9,-10.611914466387,-17.638511346633,0.0747448792757247
2018-12-01,2018,12,1,-6.03348122600113,-15.3360856795969,0.000255928460467991
2019-12-01,2019,12,8,-11.5290798030802,-19.1120675137503,0.102248545447693
2020-12-01,2020,12,7,-11.1443922494229,-19.3456153829082,0.107806696101333
2021-12-01,2021,12,8,-12.3448334378826,-20.5211734287353,0.129891745621625
2022-12-01,2022,12,10,-10.1456061387863,-18.2660399812619,0.105051426217032
2023-12-01,2023,12,10,-12.824566470195,-21.4523075206078,0.219482511992791
2024-12-01,2024,12,10,-12.7657296518706,-21.9542260001446,0.20253175106217
